NOME,ENDERECO,CONTATO,IS_WHATSAPP,SITE
Avicultura Cãopeão,"R. São Paulo, 187 - Jardim Sao Francisco, Cubatão - SP, 11500-020 ",(13) 3361-3798,SIM,Não informado
ZN Vet Cubatão - Veterinária Popular,"R. São Luís, 97 - Vila Nova, Cubatão - SP, 11520-120 ",(13) 97420-3869,SIM,Não informado
Meu Pet,"Av. Nossa Sra. da Lapa, 1380 - Vila Nova, Cubatão - SP, 11525-000 ",(13) 98863-5215,SIM,Não informado
Suellen Pet Shop & Estética Canina,"R. Dom Pedro II, 509 - Vila Nova, Cubatão - SP, 11520-040 ",(13) 99755-7333,SIM,https://www.facebook.com/suellenbanhoetosa/
Recanto dos Pets - Centro de Estética Animal,"Rua Pedro de Toledo, 495 - Vila Paulista, Cubatão - SP, 11510-090 ",(13) 99755-4502,SIM,https://instagram.com/recantodospetssp?igshid=YmMyMTA2M2Y=
Doky estética Animal,"R. Estados Unidos, 238 - Casqueiro, Cubatão - SP, 11533-040 ",(13) 99667-9603,SIM,Não informado
Pet Shop Alvorada Cubatão,"R. dos Girassóis, 135 - Vila Natal, Cubatão - SP, 11538-030 ",(13) 97406-3506,SIM,Não informado
Estética Animal Vira Lata | Banho e Tosa em Cubatão,"R. Maria Cristina, 232 - Casqueiro, Cubatão - SP, 11530-020 ",(13) 98860-3278,SIM,https://www.instagram.com/esteticaanimal2025/?igsh=MWRvYzN5dWw4Nm92YQ%3D%3D#
Patylú banho e tosa,"R. Maria Graziela, 445 - Casqueiro, Cubatão - SP, 11533-150 ",(13) 99103-6408,SIM,Não informado
Clínica Veterinária Love Pet,"Caminho São Leopoldo, 1362 - Vila Esperança, Cubatão - SP, 11540-320 ",(13) 98814-9547,SIM,https://www.instagram.com/lovepet.s2/
Frufru Pet,"R. Mal. Rondon - Parque Fernando Jorge, Cubatão - SP, 11500-280 ",(13) 99650-9227,SIM,https://www.instagram.com/frufru__pet/
Rede Krill Supermercados Vila Nova,"Av. Martins Fontes, 1101 - Vila Nova, Cubatão - SP, 11525-090 ",(13) 3476-2644,SIM,https://www.lojasredekrill.com.br/
Atol,"Av. Brasil, 183 - Casqueiro, Cubatão - SP, 11533-000 ",(13) 3363-1012,SIM,http://atolutilidades.com.br/
Milla Credidio Banho e tosa,"R. Michajlo Halajko, 73 - Jardim Caraguatá, Cubatão - SP ",(13) 99651-9157,SIM,Não informado
Bicho Mania,"R. Benedito Moreira César, 168 - Parque Sao Luis, Cubatão - SP, 11533-280 ",(13) 99170-9500,SIM,Não informado
Mundo Mágico dos Pets,"R. João Theodoro Genesi, 71 - Centro, Diadema - SP, 09910-400 ",(11) 97968-7384,SIM,Não informado
Gran Pet - Clínica Veterinária e Pet Shop,"Av. Sen. Vitorino Freire, 421 - Centro, Diadema - SP, 09910-550 ",(11) 93060-2727,SIM,https://www.facebook.com/share/QyN7vaFvVG6HhMqs/?mibextid=qi2Omg
Pet Shop Mayllow,"Av. Daniel José de Carvalho, 150 - Conceição, Diadema - SP, 09992-110 ",(11) 98890-4448,SIM,https://instagram.com/_petshop_do_mayllow?igshid=ZDdkNTZiNTM=
Pet Anjo Diadema,"Av. Pres. Kennedy, 480 - Centro, Diadema - SP, 09913-000 ",(11) 5198-1557,SIM,https://www.petanjo.com/
Pet Shop Juarez,"R. Salvador Corrêa de Sá, 521 - Vila Nogueira, Diadema - SP, 09951-060 ",(11) 95863-0870,SIM,https://www.instagram.com/invites/contact/?i=qdrv67rkw8df&utm_content=8wkeqzm
PET SHOP FONSECA,"R. Lima Barreto, 251 - Campanário, Diadema - SP, 09931-050 ",(11) 97019-3434,SIM,Não informado
Duque Pet,"R. Coimbra, 741 - Centro, Diadema - SP, 09910-120 ",(11) 99237-6890,SIM,Não informado
Pet Shop Cão Folia,"Whatsapp (11, R. Orense, 179 - 94557-7348 - Centro, Diadema - SP, 09920-650 ",(11) 4044-4828,SIM,https://www.facebook.com/CaoFoliaOficial/
Capriani Rações Veterinário,"Rua Macahuba, 79 - Vila Santa Terezinha, Diadema - SP, 09931-270 ",(11) 4091-5120,SIM,Não informado
Clinica Veterinária e Pet Shop Baependy,"R. Baependy, 280 - Campanário, Diadema - SP, 09931-090 ",(11) 99939-1146,SIM,https://sites.google.com/view/clinicaveterinriabaependy/in%C3%ADcio
CASA DO PET & COMPANHIA,"R: Polônia, 218 - Taboão, Diadema - SP, 09930-050 ",(11) 2897-9394,SIM,Não informado
Clínica Veterinária 24 horas PET CONSULTA DIADEMA,"Av. Brasília, 417 - Campanário, Diadema - SP, 09925-000 ",(11) 96191-4824,SIM,https://petconsultadiadema.com.br/
PARK PETS,"R. Alvarenga Peixoto, 33 - Vila Nogueira, Diadema - SP, 09960-440 ",(11) 4067-4009,SIM,Não informado
Pet Shop Verissimo,"R. Castro Alves, 159 - Conceição, Diadema - SP, 09911-430 ",(11) 4054-3420,SIM,Não informado
Arara Azul Pet Shop,"Av. Poe. Francisco das Chagas Fonseca, 658 - Serraria, Diadema - SP, 09980-240 ",(11) 4043-2961,SIM,Não informado
Pet Center Diadema,"R. São Jorge, 216 - Centro, Diadema - SP, 09911-070 ",(11) 4051-2732,SIM,Não informado
Pet do Tom,"R. Gaspar Ricardo, 230 - Centro, Diadema - SP, 09910-040 ",(11) 4054-4115,SIM,Não informado
PET SHOP SÃO JORGE,"R. Guarapicica, 235 - Eldorado, Diadema - SP, 09973-240 ",(11) 97792-5478,SIM,Não informado
Mundão Pet Diadema Centro,"Rua: Manoel da Nobrega, 1584 - Centro, Diadema - SP, 09910-720 ",(11) 4056-1424,SIM,http://www.mundoruralpet.com.br/
UNIC Petshop | Tudo para o seu Pet/ Banho & Tosa em Diadema,"Av. São José, 357 - Centro, Diadema - SP, 09910-380 ",(11) 98327-2230,SIM,https://www.unicpetshop.com.br/
Petshop Vivi,"Av. Dom João VI, 1450 - Taboão, Diadema - SP, 09940-150 ",(11) 4308-5114,SIM,https://instagram.com/petshopvivioficial?igshid=MzRlODBiNWFlZA==
Pet Store Drogaria e Clinica Veterinária,"Av : Assembleia, 747 - diadema, Diadema - SP, 09913-130 ",(11) 99308-4274,SIM,Não informado
Med Pet Shop,"R. José do Patrocínio, 73 - Centro, Diadema - SP, 09912-060 ",(11) 4043-1242,SIM,Não informado
Super Pets House,"Av. Alda, 563 - Centro, Diadema - SP, 09910-170 ",(11) 95784-8624,SIM,https://www.instagram.com/superpetshouse/
X-Pet Casa De Ração,"Av. Nossa Sra. dos Navegantes, 996 - Eldorado, Diadema - SP, 09972-260 ",(11) 97082-9029,SIM,Não informado
Avicultura A Pequenina,"R. da Granja, 381 - Conceição, Diadema - SP, 09990-430 ",(11) 4051-1482,SIM,Não informado
Cristal Pet,"R. Carminé Flauto, 50 - Centro, Diadema - SP, 09910-760 ",(11) 97961-9883,SIM,Não informado
MEU AMIGÃO Cão & Gato,"R. Graciosa, 528 - Centro, Diadema - SP, 09910-660 ",(11) 2375-1912,SIM,https://meuamigaocao.com.br/
Pet Shop Dog & Cat | Banho e Tosa em Diadema,"Av. Dom João VI, 986 - Canhema, Diadema - SP, 09940-150 ",(11) 98683-9413,SIM,Não informado
Pet Shop Xodó,"Av. Lico Maia, 442 - Conceição, Diadema - SP, 09981-420 ",(11) 95421-8780,SIM,http://www.petshopxodo.com.br/
Animacão Vet 24h - Clínica Veterinária 24 Horas Diadema - Banho e Tosa,"Av. Nossa Sra. dos Navegantes, 321 - Eldorado, Diadema - SP, 09972-260 ",(11) 91427-6135,SIM,https://www.animacaovet24h.com/
Avicultura Faisão,"R. Condé da Cunha, 141 - Vila Nogueira, Diadema - SP, 09960-260 ",(11) 4067-1505,SIM,Não informado
Amigo Vet Unidade I,"R. Pascoal Leite, 314 - Vila Nogueira, Diadema - SP, 09960-280 ",(11) 98175-0355,SIM,Não informado
Parque Pet Dog's,"R. da Granja, 385 - Conceição, Diadema - SP, 09990-430 ",(11) 4051-1482,SIM,Não informado
Magic Pet,"Av. Alda, 314 - Centro, Diadema - SP, 09910-170 ",(11) 2629-7719,SIM,Não informado
Pet shop Kings,"Av. Rotary, 326 - Serraria, Diadema - SP, 09980-600 ",(11) 91845-3101,SIM,Não informado
TERRA DOS PETS,"Rua Encarnação Arcade Maciel,17 Vila Élida - Centro, Diadema - SP, 09913-195 ",(11) 94026-8029,SIM,https://www.instagram.com/terradospets_/
Pet Shop Carol e bichos Daniel,"casa de ração - R. Ana Maria, 250 - Vl - Serraria, Diadema - SP, 09981-470 ",(11) 4051-2541,SIM,Não informado
Casa dos Pets,"R. Maria Helena, 461 - Piraporinha, Diadema - SP, 09951-300 ",(11) 98725-2362,SIM,http://clinicacasadospets.com.br/
Xulica Pet Shop,"R. Noruega, 117 - Taboão, Diadema - SP, 09940-010 ",(11) 98299-1651,SIM,Não informado
Pet Shop Leduci,"R. Sul América, 549 - Taboão, Diadema - SP, 09921-330 ",(11) 98836-3043,SIM,Não informado
Skina Dos Bichos,"R. das Figueiras, 112 - Taboão, Diadema - SP, 09940-510 ",(11) 94839-3499,SIM,http://www.skinadosbichos.com.br/
Love Pets Comércio de Produtos de Animais e Clínica Veterinária,"Av. Juarez Rios de vasconcelos, 446 - Centro, Diadema - SP, 09920-610 ",(11) 4044-4362,SIM,Não informado
Pet Store,"Av. Dom João VI, 221 - Taboão, Diadema - SP, 09941-115 ",(11) 4308-8308,SIM,Não informado
"Complexo Veterinário Pazzi | Clinica Veterinária, Petshop, Banho e Tosa","R. José Bonifácio, 705 - Serraria, Diadema - SP, 09980-150 ",(11) 91513-1268,SIM,https://pazziveterinaria.com/
Hospital Veterinário Rivelles,"Av. Alda, 384 - Parque Sete de Setembro, Diadema - SP, 09910-170 ",(11) 4343-4126,SIM,https://rivelles.com.br/
Estação Mundo Pet Filhotes Embu,"R. Claudionor Assis Dias, 109 - Centro, Embu das Artes - SP, 06803-320 ",(11) 94784-6606,SIM,https://www.estacaomundopet.com.br/
Nosso Pet Embu das Artes,"R. Augusto de Almeida Batista, 336 - Chácaras São Marcos, Embu das Artes - SP, 06814-010 ",(11) 91823-4533,SIM,https://www.instagram.com/nossopetembu
Pet Félix,"Av. João Paulo I, 2788 - Jardim Sao Luiz, Embu das Artes - SP, 05576-100 ",(11) 4244-9180,SIM,Não informado
Fazendeiro Rações e Consultório Veterinário,"R. Cerqueira César, 957 - Jardim Santa Tereza Novo, Embu das Artes - SP, 06813-000 ",(11) 4149-0438,SIM,https://petfazendeiro.com.br/
Pet Shop Makedasi,"Estr. de Itapecerica Campo Limpo, 231 - Jardim Independência, Embu das Artes - SP, 06823-301 ",(11) 97975-7289,SIM,https://www.instagram.com/makedasipetshop/
"PetShow, o seu pet bem cuidado","Estr. dos Moraes, 753 - Pirajussara, Embu das Artes - SP, 06814-200 ",(11) 96901-7287,SIM,Não informado
Dog & Cia,"R. Paulo do Vale, 342 - Centro, Embu das Artes - SP, 06804-010 ",(11) 94224-8586,SIM,Não informado
Estação Mundo Pet - Filhotes Embu Loja 2,"Av. Elias Yazbek, 2721 - Centro, Embu das Artes - SP, 06803-215 ",(11) 98045-3878,SIM,https://www.estacaomundopet.com.br/
Clã Dos Bichos EMBU DAS ARTES,"Av. João Paulo II, 1717 - Jardim Santa Tereza, Embu das Artes - SP, 06810-420 ",(11) 4244-3700,SIM,https://cladosbichos.com.br/
Q Pet Shop,"Av. Aimara, 592 - Parque Pirajussara, Embu das Artes - SP, 06815-000 ",(11) 91508-5219,SIM,https://lp.qpetshop.com.br/
Pet Shop Nino,"Av. João Paulo II, 973 - Vila Olinda, Embu das Artes - SP, 06810-315 ",(11) 4244-1797,SIM,http://www.ninopetshop.com.br/
Inu pet & Cia,"Estr. de Constantinopla, 1315 - Jardim Marina, Embu das Artes - SP, 06810-810 ",(11) 4203-3889,SIM,Não informado
Lulu Pet Shop Aqua Pesca | Parque Pirajussara,"Av. Rotary, 2842 - Parque Pirajussara, Embu das Artes - SP, 06810-240 ",(11) 94060-0524,SIM,Não informado
Pet Shop Central e Consultório Veterinário.,"R. Central, 49 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-510 ",(11) 4244-8301,SIM,Não informado
Pet Shop Magnólia,"R. Argentina, 58 - Pirajussara, Embu das Artes - SP, 06814-210 ",(11) 93210-2309,SIM,Não informado
a casa do pet,"Av. João Paulo I, 3141 - Jardim Sao Luiz, Embu das Artes - SP, 06816-550 ",(11) 95164-2162,SIM,https://www.instagram.com/invites/contact/?i=194pqhtsst1vi&utm_content=nazg18q
Pet Shop Nutri All Park,"Av. Aimara, 246 - Parque Pirajussara, Embu das Artes - SP, 06815-000 ",(11) 4149-7755,SIM,https://www.lojalocal.com/pets/00490101000198
Artes Petshop,"Rua dos, Estr. dos Orquidófilos, 616 - Jardim Mascarenhas, Embu das Artes - SP, 06843-460 ",(11) 98416-8810,SIM,Não informado
Lulu Pet Shop Aqua Pesca | Casa Branca,"Av. João Paulo II, 1876 - Jardim Casa Branca, Embu das Artes - SP, 06810-605 ",(11) 99342-8546,SIM,Não informado
Morada dos Passaros,"Av. João Paulo II, 1134 - Jardim Santa Tereza, Embu das Artes - SP, 06810-005 ",(11) 4244-9176,SIM,Não informado
Pet Anjo Embu Das Artes II,"Av. João Batista Medina, 182 - Chácaras Ana Lúcia, Embu das Artes - SP, 06840-000 ",(11) 5039-6876,SIM,https://www.petanjo.com/
Casa de Rações Kameran LTDA-ME,"Av. João Batista Medina, 1111 - Jardim Maranhao, Embu das Artes - SP, 06840-000 ",(11) 4778-0318,SIM,Não informado
Brutus Casa Dos Pets,"R. José Manoel Nicoli, 2729 - Jardim Angela, Embu das Artes - SP, 06824-340 ",(11) 99157-9264,SIM,Não informado
Pet Show Embu,"Estr. de Itapecerica Campo Limpo, 656 - Jardim Julia, Embu das Artes - SP, 06823-301 ",(11) 4203-4713,SIM,Não informado
Pet Leal - Banho e Tosa,"R. Amélia dos Anjos de Oliveira, 169 - Vista Alegre, Embu das Artes - SP, 06807-250 ",(11) 98589-2716,SIM,https://www.instagram.com/petleal_?igsh=cTU2eGIweXE2bmNt
Vila dos Filhotes,"R. Nossa Sra. do Rosário, 113 - Centro, Embu das Artes - SP, 06803-430 ",(11) 97842-4697,SIM,https://www.instagram.com/viladosfilhotes/
Amigo de Patas,"R. Augusto de Almeida Batista, 2368 - Jardim Sao Vicente, Embu das Artes - SP, 06826-280 ",(11) 96072-1502,SIM,https://wa.me/message/YOWWLEDUAGJPI1
Casa de Ração Pet Show,"R. dos Trabalhadores, 45 - Jardim Nossa Sra. de Fatima, Embu das Artes - SP, 06816-260 ",(11) 95800-0649,SIM,Não informado
Pet Shop Pinheirinho,"Av. Hercilio Wustenberg, 1612 - Jardim Pinheirinho, Embu das Artes - SP, 06835-390 ",(11) 4704-5230,SIM,Não informado
Pet Patotes Pet Shop,"R. Claudionor Assis Dias, 171 - Centro, Embu das Artes - SP, 06803-320 ",(11) 97392-0798,SIM,http://www.petpatotes.com.br/
Casa de Rações Cardim,"Av. João Paulo II, 1678 - Jardim Casa Branca, Embu das Artes - SP, 06810-605 ",(11) 4203-3092,SIM,Não informado
Casa de Ração Bonny e Mollie,"Estr. São José, 1110 - Jardim Vazame, Embu das Artes - SP, 06814-160 ",(11) 96225-2840,SIM,http://www.casaderacaobonnyemollye.com.br/
Petshop amigo de pelo,"R. Tostão, 32 - Jardim Irapiranga, Embu das Artes - SP, 06820-250 ",(11) 95706-0088,SIM,https://www.instagram.com/petshop_amigos_de_pelo
Milady's Kennel e MK Bulls,"R. Claudionor Assis Dias, 134 - Centro, Embu das Artes - SP, 06803-320 ",(11) 96622-8618,SIM,https://www.facebook.com/miladyskennelgolden/
Canil Blue Vision - Embu das Artes,"Largo dos Jesuítas, 124 - Loja 26 - Centro, Embu das Artes - SP, 06803-360 ",(11) 96345-0190,SIM,https://canilbluevision.com.br/
Portal Dos Filhotes Embu,"Rua Claudionor Assis Dias, 171 - Centro de, Embu das Artes - SP, 06803-320 ",(11) 97392-0798,SIM,Não informado
CASA DE RACAO DOM JOSE,"R. Lorena, 237 - Jardim Dom Jose, Embu das Artes - SP, 06823-370 ",(11) 91970-1433,SIM,https://casaderacaosaomarc.wixsite.com/website-1
CASA DE RAÇÃO E PET SHOP SÃO MIGUEL,"Estr. São José, 1551 - Chácaras São Marcos, Embu das Artes - SP, 06814-160 ",(11) 98278-6553,SIM,https://www.instagram.com/saomiguel.casaderacao/?igshid=YmMyMTA2M2Y=
Studio House Pet,"R. Urupês, 151 A - Jardim Santo Eduardo, Embu das Artes - SP, 06823-140 ",(11) 95930-0941,SIM,Não informado
ARTE VET,"Av. Elias Yazbek, 962 - Antigo 2265 - Centro, Embu das Artes - SP, 06803-000 ",(11) 4704-5697,SIM,http://artevet.com.br/
Pet Shop Mimus de Lulu,"R. Georgina de Albuquerque, 16 - Vila Cercado Grande, Embu das Artes - SP, 06804-140 ",(11) 4241-5124,SIM,Não informado
Casa de Ração Santo Eduardo,"Estr. de Itapecerica Campo Limpo, 2945 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-300 ",(11) 4244-9625,SIM,https://www.lojalocal.com/13438598000147
CatDog Estética Animal,"Av. Rotary, 2833 - Parque Luiza, Embu das Artes - SP, 06816-155 ",(11) 95895-1539,SIM,https://instagram.com/estetica.animal.catdog?igshid=YmMyMTA2M2Y=
Canil Animal Planet,"Largo dos Jesuítas, 124 - Centro, Embu das Artes - SP, 06803-360 ",(13) 99142-0583,SIM,Não informado
Geração Pet Embu,"Estr. São Judas, 571 - Parque Esplanada, Embu das Artes - SP, 06817-170 ",(11) 93393-7363,SIM,Não informado
Clinica Veterinária Morada dos Animais,"Rua Belo Horizonte, 281 - Centro, Embu das Artes - SP, 06803-440 ",(11) 4704-2784,SIM,http://www.clinicamoradadosanimais.com.br/
Tchuka Bully Kennel,"R. Claudionor Assis Dias, 115 - Centro, Embu das Artes - SP, 06803-320 ",(11) 98313-4471,SIM,https://www.tbkbully.com.br/
Pet Mania,"R. Rio de Janeiro, 1 - Jardim Silvia, Embu das Artes - SP, 06804-350 ",(11) 95770-6982,SIM,Não informado
Pet Shop Oliveira,"R. Oliveira, 631 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-060 ",(11) 4385-0521,SIM,Não informado
Patas & Garras,"Av. Elias Yazbek, 2247 - Centro, Embu das Artes - SP, 06803-120 ",(11) 4781-2799,SIM,Não informado
O poderoso doguinho,"R. Lisboa, 105 - Jardim Vazame, Embu das Artes - SP, 06826-350 ",(11) 99445-6319,SIM,https://www.instagram.com/o_poderosodoguinho?igsh=OHFmOHN4ZjN3aXM0
Empório das Rações,"R. Narumi Nakayama, 357 - Jardim Nossa Sra. de Fatima, Embu das Artes - SP, 06816-250 ",(11) 99697-4677,SIM,Não informado
Hora do banho / Banho - tosa - pet shop,"Av. João Batista Medina, 395 - Centro, Embu das Artes - SP, 06803-445 ",(11) 97119-1518,SIM,https://banhoetosa.com/
Divinas Patas,"R. dos Pinheiros, 300c - Jardim Pinheirinho, Embu das Artes - SP, 06835-240 ",(11) 99237-9904,SIM,Não informado
Espaço Pet Bolhas & Latidos,"R. Niterói, 72 - Jardim Vista Alegre, Embu das Artes - SP, 06807-370 ",(11) 93239-6899,SIM,Não informado
Agropecuária Casa do Criador,"Estr. Kaiko, 103 - Vila Maria Auxiliadora, Embu das Artes - SP, 06843-195 ",(11) 96371-1312,SIM,https://instagram.com/casadocriador_agro
Casa de Ração Lucky / BMG,"Estrada Itapecerica a campo limpo,3220, lj 2 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-300 ",(11) 98349-4188,SIM,https://meucomercio.com.br/Casaderacaolucky
Hotelzinho e Táxi Pet da Sil,"R. Mirador, 150 - Vale do Sol, Embu das Artes - SP, 06846-020 ",(11) 97975-3149,SIM,http://www.petdasil.com.br/
Sapeka's Pet Shop,"R. Augusto de Almeida Batista, 471 - Chácaras São Marcos, Embu das Artes - SP, 06814-000 ",(11) 96903-8031,SIM,Não informado
Clínica Veterinária Bicho Legal,"Av. Rotary, 2684 - Parque Pirajussara, Embu das Artes - SP, 06816-030 ",(11) 98308-3821,SIM,Não informado
Pet vi e ju,"R. Caiçara, 140 - Jardim da Luz, Embu das Artes - SP, 06824-140 ",(11) 95146-0490,SIM,Não informado
Amore di Cani,"R. Claudionor Assis Dias, 23 - Centro, Embu das Artes - SP, 06803-320 ",(11) 96442-9280,SIM,Não informado
Seu Amigo Alfredo,"R. Solano Trindade, 175 - Centro, Embu das Artes - SP, 06803-290 ",(11) 93070-2436,SIM,http://instagram.com/seuamigoalfredo
Petshop com Banho e Tosa Campo Limpo - Mundo das Rações,"Av. Augusto Barbosa Tavares, 224 - Jardim Maria Sampaio, São Paulo - SP, 05790-140 ",(11) 98731-2554,SIM,http://shopee.com.br/mundodasracoes
Pet Shop Brasil,"Estr. de Itapecerica Campo Limpo, 2882 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-301 ",(11) 96030-9190,SIM,https://wa.me/5511953647172
Clinica Veterinária Pet Shop Vista Linda,"Estr. de Itapecerica, 5900 - Jardim Amalia, São Paulo - SP, 05858-001 ",(11) 5824-2326,SIM,Não informado
Patinhas de Amor Pet Shop,"R. Marrocos, 86 - Jardim Sao Luiz, Embu das Artes - SP, 06816-450 ",(11) 4778-5262,SIM,Não informado
Banho Bom,"Estr. de Constantinopla, 910 - Jardim Julia, Embu das Artes - SP, 06820-327 ",(11) 3412-3559,SIM,Não informado
Brilho Pet,"Av. Hercilio Wustenberg, 574 - Jardim Pinheirinho, Embu das Artes - SP, 06833-200 ",(11) 97312-7129,SIM,Não informado
FAMILIAPET,"R. Dourado, 103 - Jardim Santa Clara, Embu das Artes - SP, 06843-030 ",(11) 95057-9010,SIM,Não informado
Pet Shop Ração 23 - Banho e Tosa,"Av. Hélio Ossamu Daikuara, 2765 - Jardim Mimas, Embu das Artes - SP, 06807-000 ",(11) 4704-4150,SIM,Não informado
Dog & Cat Love,"Av. das Pombas, 545 - Jardim Vazame, Embu das Artes - SP, 06826-380 ",(11) 93927-9632,SIM,Não informado
Beethoven Pet Shop - Banho e Tosa - Rações - Sistema Leva e Traz,"R. Mal. João Carlos Barreto, 9 - Jardim Maria Sampaio, São Paulo - SP, 05790-370 ",(11) 4505-8494,SIM,https://linklist.bio/beethovenpetshop
Casa de Rações Pets da Vila,"Estr. dos Orquidófilos, 307 - Loja 2 - Vila Maria Auxiliadora, Embu das Artes - SP, 06843-150 ",(11) 91789-4991,SIM,Não informado
Elite Rações e Pet,"R. Paulo do Vale, 203 - Jardim Silvia, Embu das Artes - SP, 06804-010 ",(11) 92090-4517,SIM,Não informado
Mundo dos Pets,"Estr. Prof. Cândido Mota Filho, 1321 - Jardim Santa Luzia, Embu das Artes - SP, 06805-055 ",(11) 95340-7480,SIM,Não informado
Orange Pet Shop,"Estr. Jerusalém, 537 - Chácaras Caxingui, Embu das Artes - SP, 06825-025 ",(11) 95350-4238,SIM,Não informado
Seu mundo pet,"Rua Cintas Largas, Estr. Santa Clara, 61, Embu das Artes - SP, 06843-050 ",(11) 93049-2700,SIM,https://instagram.com/seumundopett?igshid=NGVhN2U2NjQ0Yg%3D%3D&utm_source=qr
Pet lilly,"R. Jerônimo, 77 - Parque Pirajussara, Embu das Artes - SP, 06815-250 ",(11) 98531-8349,SIM,https://www.petlilly.com.br/
Pet Shop Drika - Loja de rações Campo Limpo,"Av. Carlos Lacerda, 476 - Campo Limpo, São Paulo - SP, 05789-000 - Campo Limpo, São Paulo - SP, 05789-000 ",(11) 97724-1990,SIM,https://www.instagram.com/drika_petshop
ON PET - Centro de estética animal,"R. Mal. Floriano Peixoto, 585 - Jardim Pres. Kennedy, Embu das Artes - SP, 08550-010 ",(11) 95798-2604,SIM,Não informado
Realeza Pet,"Estr. São José, 1269 - Chácaras São Marcos, Embu das Artes - SP, 06814-160 ",(11) 96311-0901,SIM,Não informado
Kero Kero Pet - Pet Shop Capão Redondo,"Av. Comendador Sant'Anna, 1935 - Jardim Clarice, São Paulo - SP, 05866-000 ",(11) 96452-6154,SIM,Não informado
Snorepets Acessórios para Pets,"Jardim Branca Flor, Embu das Artes - SP, 06803-415 ",(11) 96752-1192,SIM,Não informado
Família Pet,"R. Central, 58 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-510 ",(11) 94907-4497,SIM,Não informado
PET CRIS,"R. Plutão, 89 - Jardim Novo Embu, Embu das Artes - SP, 06840-090 ",(11) 96505-8860,SIM,Não informado
Minducão Pet Shop Taboão,"Estr. Kizaemon Takeuti, 2094 - Parque Sao Joaquim, Taboão da Serra - SP, 06775-003 ",(11) 95399-6840,SIM,Não informado
TÁ NA HORA BANHO E TOSA,"R. Afonso Desidério, 22 - Jardim Sadie, Embu das Artes - SP, 06833-030 ",(11) 97539-9310,SIM,Não informado
King Pet,"R. Augusto de Almeida Batista, 285 - Chácaras São Marcos, Embu das Artes - SP, 06814-090 ",(11) 93721-7183,SIM,https://www.facebook.com/lu.kingpet
Gigi pets,"R. Compositor - Jardim Colegio, Embu das Artes - SP, 06815-480 ",(11) 98544-4360,SIM,Não informado
Pettchelle,"R. Mato Grosso, 218 - Jardim Silvia, Embu das Artes - SP, 06804-380 ",(11) 91783-6453,SIM,https://www.instagram.com/pettchelle/
Pet Show Loja 2,"R. Augusto de Almeida Batista, 3473 - Jardim Santa Emília, Embu das Artes - SP, 06820-450 ",(11) 94573-9602,SIM,Não informado
Espuma D Pelos,"referência academia oknawa - Avenida Vereador Jorge de Souza 132, pq, Francisco Rizzo - Jardim Novo Embu, Embu das Artes - SP, 06803-270 ",(11) 91722-5774,SIM,Não informado
Pet Shop Marley e Eu,"R. Candeias, N° 17 - Jardim Sao Vicente, Embu das Artes - SP, 06826-230 ",(11) 96557-1608,SIM,Não informado
Luma Pet Shop,"R. Mário Graça, 05 - Campo Limpo, São Paulo - SP, 05789-000 ",(11) 4113-5258,SIM,Não informado
Morada dos Bichos,"Estr. de Itapecerica Campo Limpo, 3092 - Jardim Santo Eduardo, Embu das Artes - SP, 06823-300 ",(11) 94555-1549,SIM,Não informado
Pet Shop Patinhas,"R. Quirino da Silva, 22 - Vila Cercado Grande, Embu das Artes - SP, 06804-050 ",(11) 97433-5061,SIM,Não informado
Pet shop em Taboão da Serra SHOPPET,"Estr. Kizaemon Takeuti, 1425 - Jardim Clementino, Taboão da Serra - SP, 06775-001 ",(11) 95133-9003,SIM,http://supershoppet.com.br/
Oh My Dog,"Rua Professor Agostinho Alvim, 133 - Jardim do Colegio, São Paulo - SP, 05883-140 ",(11) 91478-9336,SIM,Não informado
Mercadão Pet Ferraz de Vasconcelos,"Av. Brasil, 2705 - Vila Romanopolis, Ferraz de Vasconcelos - SP, 08529-310 ",(11) 4679-7955,SIM,https://www.facebook.com/Mercad%C3%A3o-Pet-Ferraz-100970315509860
Mercadão Pet Parque dos Sonhos,"AV. Presidente Tancredo Neves, 3105 - Jardim Alice, Ferraz de Vasconcelos - SP, 08539-000 ",(11) 4679-9632,SIM,https://www.instagram.com/mercadaopetparquedossonhos/
Pet Shop Paraíso dos Pets e Estética Animal,"R. Otávio Rodrigues Barbosa, 169 - Vila Romanopolis, Ferraz de Vasconcelos - SP, 08500-410 ",(11) 94798-8064,SIM,https://www.instagram.com/paraisodospetss/
Xodo's Pet shop,"Av. John Lennon, 278 - Vila Sao Paulo, Ferraz de Vasconcelos - SP, 08507-300 ",(11) 4676-6104,SIM,Não informado
Lemos & Gatto,"Av. Brasil, 1418 - Sítio Paredao, Ferraz de Vasconcelos - SP, 08500-020 ",(11) 4678-3988,SIM,Não informado
Belo Dog Pet Shop,"R. São Paulo, 142 - Tanquinho, Ferraz de Vasconcelos - SP, 08532-550 ",(11) 99020-7795,SIM,Não informado
